 Name of the problem: Santander con lambda = 10/N
 Number of variables:    370  
 Number of observations:   76020 
 Online, b = 1% N
-------------------------------------- 
 Iter        f              ||g||     dif_f      alpha     s*y 
   0     1.952873414e+00   1.993e-01          
 Warning, small sTy < eps   4.48e-20 
 258   1.889984614e-01   2.759e-02   2.71e-02   3.74e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 259   2.639002621e-01   1.689e-02   7.49e-02   3.72e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 260   2.291365915e-01   2.575e-02   3.48e-02   3.71e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 261   1.947731468e-01   2.001e-02   3.44e-02   3.69e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 262   2.045923678e-01   1.977e-02   9.82e-03   3.68e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 263   1.832985298e-01   2.914e-02   2.13e-02   3.67e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 264   5.745986481e-01   2.266e-02   3.91e-01   3.65e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 265   8.755010698e-01   3.517e-02   3.01e-01   3.64e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 266   2.208603258e-01   2.055e-01   6.55e-01   3.63e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 267   2.258829756e-01   2.057e-02   5.02e-03   3.61e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 268   2.101235098e-01   6.164e-02   1.58e-02   3.60e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 269   3.162388058e-01   1.882e-02   1.06e-01   3.59e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 270   2.188339942e-01   2.257e-02   9.74e-02   3.57e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
 271   2.438286686e-01   6.203e-02   2.50e-02   3.56e-02  0.000e+00  
 Warning, small sTy < eps   0.00e+00 
