 Name of the problem: Santander con lambda = 10/N
 Number of variables:    370  
 Number of observations:   76020  
-------------------------------------- 
 Iter        f              ||g||     dif_f       alpha     s*y 
 168   1.505350951e-01   4.870e-04   1.97e-04   2.00e-01  4.431e-05  
 169   1.505097742e-01   9.637e-04   1.68e-04   2.00e-01  1.128e-04  
 170   1.504689187e-01   9.312e-04   2.71e-04   2.00e-01  1.380e-04  
 171   1.504348357e-01   1.083e-03   2.27e-04   2.00e-01  1.347e-04  
 172   1.504039519e-01   9.551e-04   2.05e-04   2.00e-01  1.527e-04  
 173   1.503781809e-01   1.061e-03   1.71e-04   2.00e-01  1.428e-04  
 174   1.503600236e-01   7.250e-04   1.21e-04   2.00e-01  1.492e-04  
 175   1.503295883e-01   9.916e-04   2.02e-04   2.00e-01  1.338e-04  
 176   1.503098965e-01   6.423e-04   1.31e-04   2.00e-01  1.169e-04  
 177   1.502788000e-01   8.311e-04   2.07e-04   2.00e-01  1.034e-04  
 178   1.502531983e-01   6.224e-04   1.70e-04   2.00e-01  7.196e-05  
 179   1.502263762e-01   5.171e-04   1.79e-04   2.00e-01  5.805e-05  
 180   1.502030886e-01   5.942e-04   1.55e-04   2.00e-01  5.684e-05  
 181   1.501748179e-01   5.720e-04   1.88e-04   2.00e-01  7.176e-05  
 182   1.501432408e-01   6.453e-04   2.10e-04   2.00e-01  7.791e-05  
 183   1.501094164e-01   6.915e-04   2.25e-04   2.00e-01  8.409e-05  
 184   1.500744380e-01   6.824e-04   2.33e-04   2.00e-01  1.069e-04  
 185   1.500314772e-01   7.982e-04   2.86e-04   2.00e-01  1.141e-04  
 186   1.499950401e-01   6.977e-04   2.43e-04   2.00e-01  1.343e-04  
 187   1.499570384e-01   8.553e-04   2.53e-04   2.00e-01  8.664e-05  
 188   1.499397696e-01   4.344e-04   1.15e-04   2.00e-01  5.646e-05  
 189   1.499088978e-01   7.578e-04   2.06e-04   2.00e-01  5.879e-05  
 190   1.499005407e-01   5.687e-04   5.57e-05   4.00e-02  4.889e-06  
 191   1.498601357e-01   4.602e-04   2.70e-04   2.00e-01  2.113e-05  
 192   1.498162341e-01   6.565e-04   2.93e-04   2.00e-01  4.980e-05  
 193   1.497965134e-01   7.684e-04   1.32e-04   4.00e-02  9.906e-06  
 194   1.497807045e-01   5.634e-04   1.06e-04   4.00e-02  7.244e-06  
 195   1.494458848e-01   3.540e-04   2.24e-03   1.00e+00  1.949e-04  
 196   1.493968012e-01   1.621e-03   3.28e-04   4.00e-02  2.605e-05  
 197   1.493659553e-01   1.385e-03   2.06e-04   4.00e-02  3.928e-05  
 198   1.493484963e-01   1.541e-03   1.17e-04   4.00e-02  6.680e-05  
 199   1.493154017e-01   1.328e-03   2.22e-04   4.00e-02  1.036e-04  
 200   1.492897139e-01   1.488e-03   1.72e-04   4.00e-02  3.808e-05  
 201   1.492722013e-01   1.252e-03   1.17e-04   4.00e-02  2.550e-05  
 202   1.492534300e-01   1.261e-03   1.26e-04   4.00e-02  4.942e-05  
 203   1.492495810e-01   9.968e-04   2.58e-05   4.00e-02  1.055e-04  
 204   1.492203287e-01   1.133e-03   1.96e-04   4.00e-02  1.041e-04  
 205   1.492055238e-01   9.067e-04   9.92e-05   4.00e-02  7.951e-05  
 206   1.491772632e-01   1.081e-03   1.89e-04   2.00e-01  5.798e-05  
 207   1.491451332e-01   6.770e-04   2.15e-04   1.00e+00  4.164e-05  
 208   1.491295180e-01   9.054e-04   1.05e-04   2.00e-01  1.957e-05  
 209   1.490909763e-01   4.022e-04   2.58e-04   1.00e+00  2.986e-05  
 210   1.490735392e-01   6.697e-04   1.17e-04   2.00e-01  3.759e-05  
 211   1.490564976e-01   7.313e-04   1.14e-04   2.00e-01  4.753e-05  
 212   1.490426724e-01   8.255e-04   9.28e-05   2.00e-01  4.313e-05  
 213   1.490274706e-01   6.529e-04   1.02e-04   2.00e-01  3.722e-05  
 214   1.490164372e-01   7.759e-04   7.40e-05   2.00e-01  3.787e-05  
 215   1.490057508e-01   6.171e-04   7.17e-05   2.00e-01  4.965e-05  
 216   1.489910256e-01   7.990e-04   9.88e-05   2.00e-01  4.384e-05  
 217   1.489809841e-01   5.846e-04   6.74e-05   2.00e-01  4.523e-05  
 218   1.489647458e-01   7.810e-04   1.09e-04   2.00e-01  4.801e-05  
 219   1.489562047e-01   6.315e-04   5.73e-05   2.00e-01  5.548e-05  
 220   1.489375215e-01   7.754e-04   1.25e-04   2.00e-01  4.853e-05  
 221   1.489268803e-01   5.929e-04   7.14e-05   2.00e-01  3.938e-05  
 222   1.489114720e-01   6.904e-04   1.03e-04   2.00e-01  3.514e-05  
 223   1.489024612e-01   5.674e-04   6.05e-05   2.00e-01  3.286e-05  
 224   1.488881627e-01   6.635e-04   9.60e-05   2.00e-01  2.990e-05  
 225   1.488763324e-01   5.454e-04   7.95e-05   2.00e-01  1.745e-05  
 226   1.488598343e-01   5.022e-04   1.11e-04   2.00e-01  1.040e-05  
 227   1.488154061e-01   4.765e-04   2.98e-04   1.00e+00  1.742e-04  
 228   1.487726490e-01   1.132e-03   2.87e-04   2.00e-01  4.406e-05  
 229   1.487312257e-01   5.161e-04   2.78e-04   1.00e+00  1.444e-04  
 230   1.487026942e-01   1.179e-03   1.92e-04   2.00e-01  2.434e-05  
 231   1.486907317e-01   5.447e-04   8.04e-05   2.00e-01  3.442e-05  
 232   1.486775959e-01   7.859e-04   8.83e-05   2.00e-01  4.642e-05  
 233   1.486698309e-01   6.900e-04   5.22e-05   2.00e-01  1.708e-05  
 234   1.486582609e-01   4.799e-04   7.78e-05   2.00e-01  1.188e-05  
 235   1.486497240e-01   5.435e-04   5.74e-05   2.00e-01  2.470e-05  
 236   1.486484579e-01   6.188e-04   8.52e-06   2.00e-01  6.808e-05  
Elapsed time is 170.218342 seconds.
